First_Name,Last_Name,Department,Role,Hire Date,Base Salary,Monthly Sales,Sales Target,Commission Rate,Commission Earned,Customer Rating,Customer Complaints,Employee Satisfaction Score,Manager Name,Sales Performance Status 1,Sales Performance Status 2,Customer Handling Rating 2
Nathaniel,Woods,HR,HR Manager,08/01/2019,48836,,,,,,,93,Renee Green,Not Applicable,Meets Expectations,Needs Improvement
Samantha,Oconnell,IT,Data Analyst,1/18/2019,67093,,,,,,,,Daniel Patterson,Not Applicable,Meets Expectations,Needs Improvement
Amy,Clark,Operations,Logistics Coordinator,5/28/2018,75828,,,,,,,,Mr. Bradley Welch,Not Applicable,Meets Expectations,Needs Improvement
Michael,Thompson,Marketing,Content Strategist,4/18/2022,68401,,,,,,,,Trevor Cooper,Not Applicable,Meets Expectations,Needs Improvement
Aaron,Rowe,Customer Support,Support Specialist,3/24/2017,48601,,,,,3,5,,Christopher Ochoa,Not Applicable,Meets Expectations,Needs Improvement
Cynthia,Stone,HR,Recruiter,9/14/2020,54818,,,,,,,77,Renee Green,Not Applicable,Meets Expectations,Needs Improvement
Dr. Stacey Mercado,Dds,Operations,Logistics Coordinator,12/03/2023,59665,,,,,,,,Mr. Bradley Welch,Not Applicable,Meets Expectations,Needs Improvement
Brandon,Maddox,Finance,Accountant,5/31/2019,74806,,,,,,,,David Davis,Not Applicable,Meets Expectations,Needs Improvement
Timothy,Holland,Finance,Accountant,1/28/2016,103923,,,,,,,,David Davis,Not Applicable,Meets Expectations,Needs Improvement
Kevin,Morgan,Operations,Procurement Specialist,2/21/2020,95069,,,,,,,,Mr. Bradley Welch,Not Applicable,Meets Expectations,Needs Improvement
Nancy,Romero,Marketing,Marketing Analyst,8/24/2020,82132,,,,,,,,Trevor Cooper,Not Applicable,Meets Expectations,Needs Improvement
Shawn,Patel,Marketing,Content Strategist,8/21/2022,61911,,,,,,,,Trevor Cooper,Not Applicable,Meets Expectations,Needs Improvement
Spencer,Smith,Operations,Operations Manager,4/26/2023,58930,,,,,,,,Mr. Bradley Welch,Not Applicable,Meets Expectations,Needs Improvement
Jessica,Bass,Marketing,Marketing Analyst,04/06/2015,52694,,,,,,,,Trevor Cooper,Not Applicable,Meets Expectations,Needs Improvement
Juan,Olson,HR,Recruiter,10/31/2020,71933,,,,,,,72,Renee Green,Not Applicable,Meets Expectations,Needs Improvement
Brandon,Cobb,Marketing,Marketing Analyst,5/19/2018,61134,,,,,,,,Trevor Cooper,Not Applicable,Meets Expectations,Needs Improvement
Troy,Ponce,HR,Recruiter,9/13/2020,67262,,,,,,,99,Renee Green,Not Applicable,Meets Expectations,Needs Improvement
Mrs. Kristy,Pena,Operations,Procurement Specialist,1/27/2015,92997,,,,,,,,Mr. Bradley Welch,Not Applicable,Meets Expectations,Needs Improvement
Madeline,Mcfarland,Operations,Procurement Specialist,01/11/2016,60051,,,,,,,,Mr. Bradley Welch,Not Applicable,Meets Expectations,Needs Improvement
Mr. Ryan,Cabrera,Operations,Logistics Coordinator,4/22/2021,68942,,,,,,,,Mr. Bradley Welch,Not Applicable,Meets Expectations,Needs Improvement
Evan,Moreno,IT,Software Engineer,1/29/2015,70506,,,,,,,,Daniel Patterson,Not Applicable,Meets Expectations,Needs Improvement
Erin,Reese,Operations,Operations Manager,10/10/2016,59622,,,,,,,,Mr. Bradley Welch,Not Applicable,Meets Expectations,Needs Improvement
Melissa,Garcia,Customer Support,Customer Service Rep,2/26/2023,57121,,,,,1,7,,Christopher Ochoa,Not Applicable,Meets Expectations,Needs Improvement
Arthur,Jones,Marketing,Content Strategist,10/04/2019,57192,,,,,,,,Trevor Cooper,Not Applicable,Meets Expectations,Needs Improvement
Michael,Kim,HR,HR Coordinator,8/31/2020,46289,,,,,,,89,Renee Green,Not Applicable,Meets Expectations,Needs Improvement
Mallory,Miller,IT,Data Analyst,03/01/2021,99388,,,,,,,,Daniel Patterson,Not Applicable,Meets Expectations,Needs Improvement
Melissa,Nunez,Finance,Accountant,8/13/2016,78813,,,,,,,,David Davis,Not Applicable,Meets Expectations,Needs Improvement
Amber,Ramos,Operations,Procurement Specialist,11/06/2020,94042,,,,,,,,Mr. Bradley Welch,Not Applicable,Meets Expectations,Needs Improvement
Terry,Madden,Marketing,Marketing Analyst,9/20/2021,69150,,,,,,,,Trevor Cooper,Not Applicable,Meets Expectations,Needs Improvement
Matthew,Ramos,Marketing,SEO Specialist,04/08/2023,78313,,,,,,,,Trevor Cooper,Not Applicable,Meets Expectations,Needs Improvement
Dr. Maureen Erickson,Dvm,Operations,Procurement Specialist,03/05/2019,54773,,,,,,,,Mr. Bradley Welch,Not Applicable,Meets Expectations,Needs Improvement
Dale,Jackson,Sales,Sales Manager,2/13/2021,84887,137361,120959,0.020778271,2854.12,2,9,,Bryan Burnett,Meets Expectations,High Performer,Needs Improvement
Andrew,Cantu,Marketing,Marketing Analyst,9/24/2019,73496,,,,,,,,Trevor Cooper,Not Applicable,Meets Expectations,Needs Improvement
Christina,Garcia,Sales,Account Manager,09/07/2022,57316,156268,146734,0.057277206,8950.59,3,0,,Bryan Burnett,Meets Expectations,High Performer,Needs Improvement
Lisa,Gomez,Marketing,SEO Specialist,02/04/2016,49585,,,,,,,,Trevor Cooper,Not Applicable,Meets Expectations,Needs Improvement
Brian,Hanson,Marketing,Marketing Analyst,2/24/2015,57681,,,,,,,,Trevor Cooper,Not Applicable,Meets Expectations,Needs Improvement
Amber,Richardson,HR,HR Manager,3/28/2015,54631,,,,,,,99,Renee Green,Not Applicable,Meets Expectations,Needs Improvement
Joann,Holmes,Sales,Account Manager,8/30/2020,79050,79837,90535,0.047746097,3811.91,4,1,,Bryan Burnett,Meets Expectations,Meets Expectations,Needs Improvement
Tracy,Hobbs,HR,HR Manager,9/18/2015,48239,,,,,,,89,Renee Green,Not Applicable,Meets Expectations,Needs Improvement
Nicholas,Robinson,Marketing,Marketing Analyst,7/18/2019,56945,,,,,,,,Trevor Cooper,Not Applicable,Meets Expectations,Needs Improvement
Sherry,Smith,Operations,Procurement Specialist,11/18/2016,54428,,,,,,,,Mr. Bradley Welch,Not Applicable,Meets Expectations,Needs Improvement
Andre,Rush,Customer Support,Call Center Agent,4/23/2018,39923,,,,,3,7,,Christopher Ochoa,Not Applicable,Meets Expectations,Needs Improvement
Christopher,Decker,Sales,Sales Manager,1/29/2017,52709,196918,160387,0.059627581,11741.74,4,2,,Bryan Burnett,Meets Expectations,High Performer,Needs Improvement
Jennifer,Davis,Finance,Auditor,05/03/2018,67426,,,,,,,,David Davis,Not Applicable,Meets Expectations,Needs Improvement
Connor,Hamilton,Customer Support,Customer Service Rep,8/29/2018,41126,,,,,5,5,,Christopher Ochoa,Not Applicable,Meets Expectations,Needs Improvement
Norman,Hogan,Customer Support,Customer Service Rep,1/16/2020,44984,,,,,3,6,,Christopher Ochoa,Not Applicable,Meets Expectations,Needs Improvement
John,Gray,Customer Support,Call Center Agent,10/25/2020,36058,,,,,2,1,,Christopher Ochoa,Not Applicable,Meets Expectations,Needs Improvement
Javier,Spencer,Sales,Account Manager,2/13/2019,84444,40172,82136,0.051823278,2081.84,3,5,,Bryan Burnett,Meets Expectations,Needs Improvement,Needs Improvement
Paul,Snyder,HR,HR Coordinator,06/08/2022,61768,,,,,,,78,Renee Green,Not Applicable,Meets Expectations,Needs Improvement
Elizabeth,West,HR,Recruiter,02/09/2020,89711,,,,,,,99,Renee Green,Not Applicable,Meets Expectations,Needs Improvement
Holly,Rodriguez,HR,HR Manager,3/30/2020,63819,,,,,,,62,Renee Green,Not Applicable,Meets Expectations,Needs Improvement
Gloria,Gates,IT,IT Support,6/14/2018,50598,,,,,,,,Daniel Patterson,Not Applicable,Meets Expectations,Needs Improvement
Stephen,Richards,Sales,Sales Manager,3/14/2021,79522,170658,180050,0.038978292,6651.96,4,6,,Bryan Burnett,Meets Expectations,Meets Expectations,Needs Improvement
Michelle,Jacobson,Marketing,Content Strategist,05/12/2016,55063,,,,,,,,Trevor Cooper,Not Applicable,Meets Expectations,Needs Improvement
Christopher,Davis,Customer Support,Support Specialist,8/21/2017,41571,,,,,3,2,,Christopher Ochoa,Not Applicable,Meets Expectations,Needs Improvement
Michael,Martinez,Finance,Auditor,09/01/2015,95919,,,,,,,,David Davis,Not Applicable,Meets Expectations,Needs Improvement
David,Smith,IT,Software Engineer,01/11/2023,51705,,,,,,,,Daniel Patterson,Not Applicable,Meets Expectations,Needs Improvement
Robert,Massey,Finance,Financial Analyst,8/14/2017,89155,,,,,,,,David Davis,Not Applicable,Meets Expectations,Needs Improvement
Christopher,Hernandez,Sales,Sales Executive,9/22/2023,71285,184598,159586,0.043087718,7953.91,2,9,,Bryan Burnett,Meets Expectations,High Performer,Needs Improvement
Victoria,Wood,HR,HR Coordinator,8/23/2019,52866,,,,,,,94,Renee Green,Not Applicable,Meets Expectations,Needs Improvement
Joe,Kim,Finance,Financial Analyst,7/18/2016,98040,,,,,,,,David Davis,Not Applicable,Meets Expectations,Needs Improvement
Kelly,Dominguez,Sales,Sales Manager,11/22/2017,72240,24046,60288,0.031837403,765.56,4,9,,Bryan Burnett,Meets Expectations,Needs Improvement,Needs Improvement
Ryan,Le,Marketing,Content Strategist,07/08/2022,78601,,,,,,,,Trevor Cooper,Not Applicable,Meets Expectations,Needs Improvement
Benjamin,Warner,Finance,Financial Analyst,1/13/2018,101037,,,,,,,,David Davis,Not Applicable,Meets Expectations,Needs Improvement
Michelle,Walsh,Finance,Accountant,9/16/2021,65434,,,,,,,,David Davis,Not Applicable,Meets Expectations,Needs Improvement
Casey,Sanchez,Customer Support,Customer Service Rep,8/28/2015,45913,,,,,1,5,,Christopher Ochoa,Not Applicable,Meets Expectations,Needs Improvement
Wyatt,Moyer,Operations,Procurement Specialist,07/11/2021,58095,,,,,,,,Mr. Bradley Welch,Not Applicable,Meets Expectations,Needs Improvement
Timothy,Mcdaniel,Sales,Sales Manager,6/20/2018,50155,225727,147143,0.061218458,13818.66,3,9,,Bryan Burnett,Meets Expectations,High Performer,Needs Improvement
Jamie,Johnson,IT,Software Engineer,8/30/2017,78087,,,,,,,,Daniel Patterson,Not Applicable,Meets Expectations,Needs Improvement
Christopher,Sullivan,Sales,Account Manager,8/30/2019,58628,129189,127783,0.037743456,4876.04,5,7,,Bryan Burnett,Meets Expectations,High Performer,Needs Improvement
Veronica,Nolan,Finance,Auditor,12/27/2018,107718,,,,,,,,David Davis,Not Applicable,Meets Expectations,Needs Improvement
Adrian,Jones,Marketing,Marketing Analyst,11/01/2020,66091,,,,,,,,Trevor Cooper,Not Applicable,Meets Expectations,Needs Improvement
Amy,Santiago,Finance,Financial Analyst,1/27/2019,82336,,,,,,,,David Davis,Not Applicable,Meets Expectations,Needs Improvement
